id,name,network_level,source,lat,lon,coord_source,coord_quality,voltage_in_kv,voltage_out_kv,voltage_levels,voltage_source,capacity_available_mw,capacity_reserved_mw,capacity_total_mw,operator,commune,departement,region,function,substation_type,osm_id,osm_match_score,osm_match_distance_m,source_id,code_insee,capacity_source,last_updated,notes
RTE_H.RIV,HAUTES-RIVIERES,TX,RTE_ODRE,49.8750597,4.8410464,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Ardennes,,Poste de transformation,,way_178063755,1.0,,H.RIV,,MISSING,2025-12-13T03:11:38.854004,
RTE_HERIM,HERIMENIL,TX,RTE_ODRE,48.5706617,6.48896,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Meurthe-et-Moselle,,Poste de transformation,,way_147096972,1.0,,HERIM,,MISSING,2025-12-13T03:11:38.854010,
RTE_HERRE,HERRENWASSER,TX,RTE_ODRE,,,MISSING,MISSING,225.0,,225kV,OFFICIAL,,,,RTE,,Bas-Rhin,,Poste de transformation,,,,,HERRE,,MISSING,2025-12-13T03:11:38.854013,
RTE_I.VER,ILE-VERTE,TX,RTE_ODRE,45.1960837,5.7416797,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Isère,,Poste de transformation,distribution,way_55652660,1.0,,I.VER,,MISSING,2025-12-13T03:11:38.854016,
RTE_INGRA,INGRANDES,TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Vienne,,Poste de transformation,,,,,INGRA,,MISSING,2025-12-13T03:11:38.854019,
RTE_ISSOI,ISSOIRE,TX,RTE_ODRE,45.5549206,3.2547955,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Puy-de-Dôme,,Poste de transformation,distribution,way_74699439,1.0,,ISSOI,,MISSING,2025-12-13T03:11:38.854023,
RTE_J.MAI,JOLI-MAI,TX,RTE_ODRE,47.2420244,-1.594073,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Loire-Atlantique,,Poste de transformation,,way_537448718,0.9,,J.MAI,,MISSING,2025-12-13T03:11:38.854026,
RTE_JUSSE,JUSSEY,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Haute-Saône,,Poste de transformation,,,,,JUSSE,,MISSING,2025-12-13T03:11:38.854029,
RTE_L.CHA,LONG-CHAMP (LE),TX,RTE_ODRE,49.3432317,3.4778809,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Aisne,,Poste de transformation,transmission,way_180569105,0.9,,L.CHA,,MISSING,2025-12-13T03:11:38.854033,
RTE_L.NE5,LOGIS-NEUF (POSTE CENTRALE),TX,RTE_ODRE,44.6746248,4.7913454,OSM,EXACT,45.0,,<45kV,OFFICIAL,,,,RTE,,Ardèche,,Poste de transformation,transmission,way_135314787,1.0,,L.NE5,,MISSING,2025-12-13T03:11:38.854036,
RTE_LAFFI,LAFFITE,TX,RTE_ODRE,43.1182773,1.6057823,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Ariège,,Poste de transformation,industrial,way_119402270,0.9,,LAFFI,,MISSING,2025-12-13T03:11:38.854039,
RTE_LANFA,LANFAINS,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Côtes-d'Armor,,Poste de transformation,,,,,LANFA,,MISSING,2025-12-13T03:11:38.854043,
RTE_LANG6,LANGLOIS,TX,RTE_ODRE,48.8415804,2.6602138,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Seine-et-Marne,,Poste de transformation,distribution,way_140753578,1.0,,LANG6,,MISSING,2025-12-13T03:11:38.854046,
RTE_LANN6,LANNILIS,TX,RTE_ODRE,48.5439155,-4.5454454,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Finistère,,Poste de transformation,distribution,way_237272102,1.0,,LANN6,,MISSING,2025-12-13T03:11:38.854049,
RTE_LEGUE,LEGUEVIN,TX,RTE_ODRE,43.5981765,1.2741342,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Haute-Garonne,,Poste de transformation,transmission,way_115437692,1.0,,LEGUE,,MISSING,2025-12-13T03:11:38.854053,
RTE_LESTR,LESTREM,TX,RTE_ODRE,50.6401539,2.6810072,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Nord,,Poste de transformation,industrial,way_175907366,1.0,,LESTR,,MISSING,2025-12-13T03:11:38.854060,
RTE_LEVAL,LEVALLOIS,TX,RTE_ODRE,48.8935721,2.2810771,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Hauts-de-Seine,,Poste de transformation,distribution,way_1162035523,1.0,,LEVAL,,MISSING,2025-12-13T03:11:38.854065,
RTE_LISIE,LISIEUX,TX,RTE_ODRE,49.1419065,0.2219177,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Calvados,,Poste de transformation,,way_167408228,1.0,,LISIE,,MISSING,2025-12-13T03:11:38.854069,
RTE_LIZY,LIZY (-SUR-OURCQ),TX,RTE_ODRE,49.0281603,3.0132242,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Seine-et-Marne,,Poste de transformation,,way_183992905,0.9,,LIZY,,MISSING,2025-12-13T03:11:38.854074,
RTE_LOUD6,LOUDES,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Haute-Loire,,Poste de transformation,,,,,LOUD6,,MISSING,2025-12-13T03:11:38.854077,
RTE_LUXE,LUXE,TX,RTE_ODRE,45.897445,0.1164816,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Charente,,Poste de transformation,traction,way_597471246,1.0,,LUXE,,MISSING,2025-12-13T03:11:38.854080,
RTE_M.LIL,MOULINS-LILLE,TX,RTE_ODRE,46.3661194,6.3202748,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Nord,,Poste de transformation,minor_distribution,way_377650031,0.9,,M.LIL,,MISSING,2025-12-13T03:11:38.854084,
RTE_MALA8,MALADRERIE (CLIENT),TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Oise,,Poste de transformation,,,,,MALA8,,MISSING,2025-12-13T03:11:38.854087,
RTE_MALAU,MALAUNAY,TX,RTE_ODRE,49.5244692,1.0329813,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Seine-Maritime,,Poste de transformation,traction,way_166509939,1.0,,MALAU,,MISSING,2025-12-13T03:11:38.854090,
RTE_MALEC,MALECOT,TX,RTE_ODRE,48.5164142,2.5892238,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Seine-et-Marne,,Poste de transformation,distribution,way_24923808,1.0,,MALEC,,MISSING,2025-12-13T03:11:38.854093,
RTE_MALLI,MALLIFAUD,TX,RTE_ODRE,45.1818438,5.7222269,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Isère,,Poste de transformation,distribution,way_34573403,1.0,,MALLI,,MISSING,2025-12-13T03:11:38.854097,
RTE_MANOI,MANOIR (LE),TX,RTE_ODRE,47.8790972,-3.5062223,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Eure,,Poste de transformation,minor_distribution,node_3667405682,0.9,,MANOI,,MISSING,2025-12-13T03:11:38.854100,
RTE_MAREN,MARENNES,TX,RTE_ODRE,45.8264563,-1.122903,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,,,Poste de transformation,transmission,way_155429328,1.0,,MAREN,,MISSING,2025-12-13T03:11:38.854104,
RTE_MAZIN,MAZINGARBE,TX,RTE_ODRE,50.4743013,2.7240641,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Pas-de-Calais,,Poste de transformation,,way_170062580,1.0,,MAZIN,,MISSING,2025-12-13T03:11:38.854107,
RTE_MEGEV,MEGEVE,TX,RTE_ODRE,45.8586461,6.6134533,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Savoie,,Poste de transformation,transmission,way_68157345,1.0,,MEGEV,,MISSING,2025-12-13T03:11:38.854110,
RTE_MENTO,MENTON,TX,RTE_ODRE,43.7841042,7.4939281,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Alpes-Maritimes,,Poste de transformation,transmission,way_674785007,1.0,,MENTO,,MISSING,2025-12-13T03:11:38.854115,
RTE_MEYME,MEYMES,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Lot,,Poste de transformation,,,,,MEYME,,MISSING,2025-12-13T03:11:38.854119,
RTE_MIRA5,MIRAMAS (COGEMA A MIRAMAS),TX,RTE_ODRE,43.5788752,5.0137889,OSM,EXACT,,,HORS TENSION,OFFICIAL,,,,RTE,,Bouches-du-Rhône,,Poste de transformation,traction,way_183413082,1.0,,MIRA5,,MISSING,2025-12-13T03:11:38.854123,
RTE_MOTT5,MOTTE (LA) (VILLENEUVE-LES-AVIGNON),TX,RTE_ODRE,46.0803753,-0.5079884,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Gard,,Poste de transformation,minor_distribution,node_5876984773,0.9,,MOTT5,,MISSING,2025-12-13T03:11:38.854128,
RTE_MOUGU,MOUGUERRE,TX,RTE_ODRE,43.4844905,-1.4414571,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Pyrénées-Atlantiques,,Poste de transformation,transmission,way_111558561,1.0,,MOUGU,,MISSING,2025-12-13T03:11:38.854132,
RTE_MOUTH,MOUTHIER,TX,RTE_ODRE,47.0295646,6.2854148,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Doubs,,Poste de transformation,distribution,way_122394639,1.0,,MOUTH,,MISSING,2025-12-13T03:11:38.854135,
RTE_MTEZ5,MONTEZIC (POSTE EXTERIEUR),TX,RTE_ODRE,44.7344687,2.6387166,OSM,EXACT,400.0,,400kV,OFFICIAL,,,,RTE,,Aveyron,,Poste de transformation,transition,way_113217487,1.0,,MTEZ5,,MISSING,2025-12-13T03:11:38.854138,
RTE_MTPAO,MONTPAON,TX,RTE_ODRE,43.8662346,3.1082376,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Aveyron,,Poste de transformation,traction,way_129092155,1.0,,MTPAO,,MISSING,2025-12-13T03:11:38.854142,
RTE_MURE5,MURE (LA),TX,RTE_ODRE,45.3010287,4.3396434,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Isère,,Poste de transformation,minor_distribution,node_6181643771,1.0,,MURE5,,MISSING,2025-12-13T03:11:38.854146,
